39,Метафора как трансформация,Да,значения,семантическое преобразование,индивидуальные/неформальные/дискретные,аналог в поэтике
40,Переход от утилитарного к эстетическому,Да,функция,рефункционализация,индивидуальные/неформальные/дискретные,аналог в дизайне
41,Эстетическое сомнение,Да,состояние,неуверенность восприятия,индивидуальные/неформальные/дискретные,аналог в авангардных практиках
42,Эстетическая скука,Да,состояние,истощение новизны,индивидуальные/латентные/неформальные,аналог в эстетике "переутомления"
43,Интериоризация формы,Да,идентичность/границы,внутреннее соответствие,индивидуальные/постепенные/неформальные,аналог в психоэстетике
44,Создание эстетического ритма,Да,время/ритм,паттерн гармонии,индивидуальные/неформальные/континуальные,аналог в музыке
45,Формирование вкусового ядра,Да,нормы,личная эстетическая ось,индивидуальные/постепенные/неформальные,аналог в эстетической социализации
46,Переход от аффекта к образу,Да,состояние,трансформация чувства в символ,индивидуальные/неформальные/дискретные,аналог в искусстве
47,Фрагментация стиля,Да,структура,разбор канона,индивидуальные/неформальные/дискретные,аналог в деконструкции
48,Наслоение эстетических кодов,Да,структура,полиформатность,индивидуальные/неформальные/постепенные,аналог в постпостмодерне
49,Межжанровый синтез,Да,структура,слияние форматов,индивидуальные/неформальные/постепенные,аналог в гибридном искусстве
50,Переход к абсурду,Нет,значения,снятие рациональности,индивидуальные/неформальные/дискретные,аналог в театре абсурда
51,Фиксация мгновенного,Да,время/ритм,остановка потока,индивидуальные/неформальные/мгновенные,аналог в фотографии
52,Эстетическая амплификация,Да,структура,усиление восприятия,индивидуальные/неформальные/дискретные,аналог в романтизме
53,Переход к антиестетике,Нет,нормы,отрицание красоты,индивидуальные/неформальные/дискретные,аналог в ready-made
54,Трансформация фона в фигуру,Да,структура,перенос внимания,индивидуальные/неформальные/мгновенные,аналог в гештальте
55,Эстетическое преломление,Да,значения,искажённое восприятие,индивидуальные/неформальные/дискретные,аналог в сюрреализме
56,Артикуляция молчания,Да,дискурс,высказывание через отсутствие,индивидуальные/неформальные/дискретные,аналог в концептуализме
57,Формирование зрительской позиции,Да,идентичность/границы,модель восприятия,индивидуальные/неформальные/постепенные,аналог в киноанализе
58,Сценаризация взгляда,Да,поведение,настройка восприятия,индивидуальные/постепенные/неформальные,аналог в визуальных исследованиях
59,Переход от образа к ощущению,Да,содержание,сенсорная редукция,индивидуальные/неформальные/континуальные,аналог в эмпирической эстетике
60,Разложение символа,Да,значения,семантическое расщепление,индивидуальные/неформальные/дискретные,аналог в semiotic noise
№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
61,Реабилитация китча,Да,нормы,переосмысление низкого,индивидуальные/неформальные/дискретные,аналог в постиронии
62,Нарративизация образа,Да,содержание,превращение в рассказ,индивидуальные/неформальные/дискретные,аналог в сторителлинге
63,Переход от образа к звуку,Да,функция,аудиовизуальная трансформация,индивидуальные/неформальные/континуальные,аналог в аудиовизуальном искусстве
64,Создание эстетической плотности,Да,структура,насыщенность форм,индивидуальные/неформальные/дискретные,аналог в экспрессионизме
65,Избыточность как стратегия,Да,структура,перегрузка восприятия,индивидуальные/неформальные/дискретные,аналог в барокко и арт-хаосе
66,Отказ от эстетической оценки,Да,нормы,этический нейтралитет,индивидуальные/неформальные/дискретные,аналог в концептуализме
67,Метафорическое сгущение,Да,значения,слоистая символика,индивидуальные/неформальные/дискретные,аналог в поздней поэзии
68,Стирание границ между искусством и жизнью,Нет,идентичность/границы,жизнь как искусство,индивидуальные/постепенные/неформальные,аналог в перформансе
69,Эстетическое интуирование,Да,состояние,мгновенное "узнавание",индивидуальные/мгновенные/неформальные,аналог в восточной эстетике
70,Переход от индивидуального к коллективному восприятию,Да,отношения,аффективная синхронизация,коллективные/постепенные/неформальные,аналог в массовом искусстве
71,Формирование визуального ритуала,Да,время/ритм,повторяющийся паттерн,индивидуальные/неформальные/постепенные,аналог в театре и инсталляции
72,Реконтекстуализация,Да,значения,восприятие в новой среде,индивидуальные/неформальные/дискретные,аналог в коллажах
73,Превращение текста в визуальное,Да,дискурс,типографическая эстетика,индивидуальные/дискретные/неформальные,аналог в визуальной поэзии
74,Сдвиг между слоями восприятия,Да,структура,наложение регистров,индивидуальные/неформальные/дискретные,аналог в glitch-art
75,Переход к пустоте,Нет,содержание,отказ от наполнения,индивидуальные/латентные/дискретные,аналог в дзэн и минимализме
76,Семантическая аномалия,Нет,значения,нарушение языковой логики,индивидуальные/неформальные/дискретные,аналог в сюрреализме
77,Онто-эстетическое сжатие,Нет,структура,обобщение бытийного к символу,индивидуальные/латентные/неформальные,аналог в метафизике искусства
78,Эстетическая мультипликация,Да,структура,повтор с вариацией,индивидуальные/постепенные/континуальные,аналог в digital loops
79,Переход от символа к текстуре,Да,тело/материя,сенсорное смещение,индивидуальные/неформальные/континуальные,аналог в эмбодимент-арт
80,Растворение границ объекта,Да,идентичность/границы,размытие формы,индивидуальные/неформальные/дискретные,аналог в абстракции
81,Эстетическая ретроспекция,Да,память/наследие,взгляд в прошлое,индивидуальные/неформальные/дискретные,аналог в ретрофутуризме
82,Виртуализация образа,Да,технология/инфраструктура,цифровое преломление,индивидуальные/неформальные/экзогенные,аналог в digital art
83,Тотальная символизация,Нет,значения,всё становится знаком,индивидуальные/латентные/неформальные,аналог в символистской эстетике
84,Превращение воспоминания в образ,Да,содержание,визуализация памяти,индивидуальные/постепенные/неформальные,аналог в мемориальной эстетике
85,Переход от фиксации к импровизации,Да,время/ритм,от предписания к свободе,индивидуальные/континуальные/неформальные,аналог в джазовой эстетике
86,Эстетическая провокация,Нет,дискурс,намеренное нарушение,индивидуальные/экзогенные/дискретные,аналог в антиискусстве
87,Нейтрализация эстетического напряжения,Да,состояние,умиротворение,индивидуальные/постепенные/неформальные,аналог в дзэн
88,Дифракция смыслов,Да,значения,множественность прочтений,индивидуальные/неформальные/дискретные,аналог в многослойной поэзии
89,Реставрация формы,Да,структура,восстановление канона,институциональные/дискретные/неформальные,аналог в неоклассицизме
90,Симуляция присутствия,Нет,технология/инфраструктура,цифровой двойник,индивидуальные/неформальные/экзогенные,аналог в VR-эстетике
91,Изменение эстетической модальности,Да,содержание,от визуального к телесному,индивидуальные/неформальные/континуальные,аналог в performance art
92,Обнажение механизма,Да,структура,показ способа сборки,индивидуальные/дискретные/неформальные,аналог в театре и кинематографе
93,Эстетическая парадоксальность,Да,значения,совмещение несочетаемого,индивидуальные/неформальные/дискретные,аналог в ироническом искусстве
94,Отождествление с формой,Да,идентичность/границы,погружение в образ,индивидуальные/континуальные/неформальные,аналог в immersive art
95,Смена эстетического архетипа,Да,структура,обновление репрезентативной схемы,индивидуальные/неформальные/дискретные,аналог в эпохальных стилях
96,Эстетическая демифологизация,Да,значения,снятие идеологической надстройки,индивидуальные/неформальные/дискретные,аналог в критическом искусстве
97,Сопротивление интерпретации,Нет,дискурс,отказ быть объяснённым,индивидуальные/неформальные/латентные,аналог в мистическом искусстве
98,Отказ от фигуративности,Нет,структура,абстрактное утверждение,индивидуальные/неформальные/дискретные,аналог в абстракционизме
99,Переход к метаэстетике,Да,нормы,размышление о самой эстетике,индивидуальные/дискретные/неформальные,аналог в философии искусства
100,Трансформация эстетической дистанции,Да,отношения,интимизация или отстранение,индивидуальные/неформальные/постепенные,аналог в эффекте присутствия
101,Оживление архетипа,Да,значения,актуализация глубинной формы,индивидуальные/неформальные/дискретные,аналог в мифопоэтике
102,Наложение эстетических эпох,Да,структура,анахронический стиль,индивидуальные/неформальные/дискретные,аналог в постиронии
103,Манифестация через молчание,Да,дискурс,отказ говорить как высказывание,индивидуальные/неформальные/дискретные,аналог в минимализме
104,Формирование эстетической привычки,Да,поведение,закрепление паттерна,индивидуальные/постепенные/неформальные,аналог в культурной социализации
105,Установка на "невидимое",Да,внимание,перенос фокуса на пустоту,индивидуальные/неформальные/континуальные,аналог в дзэн-буддизме
106,Переход к полисенсорности,Да,функция,одновременная активация модальностей,индивидуальные/неформальные/постепенные,аналог в инсталляции
107,Сброс эстетического ожидания,Нет,нормы,разрыв с шаблоном,индивидуальные/дискретные/неформальные,аналог в провокациях
108,Активация метафизического переживания,Нет,состояние,сверхчувственная вибрация,индивидуальные/неформальные/экзогенные,аналог в мистическом искусстве
109,Множественное кадрирование,Да,структура,разные фокусы,индивидуальные/дискретные/неформальные,аналог в кино и инсталляциях
110,Смещение телесной схемы,Да,тело/материя,восприятие тела иначе,индивидуальные/континуальные/неформальные,аналог в post-body art
111,Эстетика повреждённого,Да,содержание,красота дефекта,индивидуальные/неформальные/дискретные,аналог в wabi-sabi
112,Формализация пустоты,Да,структура,пустое как элемент,индивидуальные/дискретные/неформальные,аналог в дзэн-искусстве
113,Символический переход,Да,значения,переход от одного архетипа к другому,индивидуальные/дискретные/неформальные,аналог в трансформационной эстетике
114,Отказ от репрезентации,Нет,функция,прекращение отображения,индивидуальные/неформальные/дискретные,аналог в нематериальном искусстве
115,Непредсказуемость как стиль,Да,структура,стратегия хаоса,индивидуальные/неформальные/дискретные,аналог в glitch art
116,Эстетическая иммерсия,Да,отношения,погружение в среду,индивидуальные/континуальные/неформальные,аналог в XR-искусстве
117,Индивидуализация символа,Да,значения,личная интерпретация,индивидуальные/неформальные/дискретные,аналог в поэтике
118,Нарушение линейности,Да,время/ритм,разрыв нарратива,индивидуальные/неформальные/дискретные,аналог в постдраме
119,Метафизическая инсталляция,Нет,пространство,создание зоны переживания,индивидуальные/экзогенные/неформальные,аналог в ambient-арт
120,Эстетическая эвакуация,Нет,структура,сознательное опустошение формы,индивидуальные/дискретные/неформальные,аналог в радикальном минимализме
№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
121,Эстетическое созвучие,Да,отношения,гармоническая резонансность,индивидуальные/неформальные/постепенные,аналог в музыкальной эстетике
122,Инверсивная символизация,Да,значения,переворачивание смысла образа,индивидуальные/неформальные/дискретные,аналог в постиронии
123,Метаэстетическая пауза,Да,состояние,остановка интерпретации,индивидуальные/неформальные/мгновенные,аналог в созерцательных практиках
124,Переход к гиперэстетике,Нет,структура,перенасыщение формы,индивидуальные/латентные/каскадные,аналог в китч-арте
125,Фрагментация восприятия,Да,содержание,разделение на элементы,индивидуальные/неформальные/дискретные,аналог в кубизме
126,Слияние искусственного и природного,Да,тело/материя,био-эстетическая гибридизация,индивидуальные/неформальные/постепенные,аналог в лэнд-арте
127,Эстетическая инверсия времени,Да,время/ритм,обратная перспектива восприятия,индивидуальные/неформальные/дискретные,аналог в киноязыке
128,Эстетическое сопротивление,Да,нормы,отказ от канона,индивидуальные/неформальные/дискретные,аналог в авангардных практиках
129,Символическая перегрузка,Нет,значения,чрезмерное насыщение знаками,индивидуальные/латентные/неформальные,аналог в постмодернизме
130,Визуальное молчание,Да,дискурс,выражение через отсутствие,индивидуальные/неформальные/дискретные,аналог в минимализме
131,Смена эстетического регистра,Да,структура,переход от одного стиля к другому,индивидуальные/неформальные/дискретные,аналог в стилевых революциях
132,Эстетическое сглаживание,Да,структура,снижение контрастов,индивидуальные/неформальные/постепенные,аналог в классической гармонии
133,Эстетический парадокс,Да,значения,объединение противоположностей,индивидуальные/неформальные/дискретные,аналог в сюрреализме
134,Переход от образа к действию,Да,функция,артикуляция опыта,индивидуальные/неформальные/дискретные,аналог в перформансе
135,Эстетическое прерывание,Нет,время/ритм,сброс нарратива,индивидуальные/неформальные/мгновенные,аналог в авангарде
136,Интериоризация символа,Да,идентичность/границы,присвоение образа,индивидуальные/неформальные/дискретные,аналог в психоэстетике
137,Эстетическая амбивалентность,Да,состояние,одновременность разных чувств,индивидуальные/неформальные/дискретные,аналог в экспрессионизме
138,Обнажение эстетического механизма,Да,структура,демонстрация техники,индивидуальные/неформальные/дискретные,аналог в мета-искусстве
139,Эстетическая дезориентация,Нет,состояние,потеря устойчивого восприятия,индивидуальные/неформальные/латентные,аналог в психоделическом искусстве
140,Создание эстетической рамки,Да,структура,контур восприятия,индивидуальные/неформальные/дискретные,аналог в экспозиции
141,Эстетический симбиоз,Да,отношения,слияние разных форм искусства,индивидуальные/неформальные/постепенные,аналог в мультимедиа
142,Трансцендентная эстетика,Нет,значения,выход за чувственное,индивидуальные/неформальные/экзогенные,аналог в мистическом искусстве
143,Эстетический рефрейминг,Да,дискурс,смена угла восприятия,индивидуальные/неформальные/дискретные,аналог в арт-критике
144,Драматизация формы,Да,структура,усиление напряжения,индивидуальные/неформальные/дискретные,аналог в экспрессионизме
145,Эстетическая редукция,Да,структура,очистка до минимальной формы,индивидуальные/неформальные/дискретные,аналог в минимализме
146,Метафорическая перегрузка,Нет,значения,избыточность образов,индивидуальные/латентные/неформальные,аналог в символизме
147,Эстетическое смещение,Да,структура,перенос акцента,индивидуальные/неформальные/дискретные,аналог в композиционных практиках
148,Эстетическая персонификация,Да,значения,одушевление образа,индивидуальные/неформальные/дискретные,аналог в романтизме
149,Эстетическая полифония,Да,структура,одновременность множества форм,индивидуальные/неформальные/постепенные,аналог в музыке и литературе
150,Эстетическая интеграция,Да,структура,сведение элементов в целое,индивидуальные/неформальные/постепенные,аналог в классической гармонии
