№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
19,Запекание в соляной корке,Нет,"структура; состояние","соль удерживает влагу и аромат","необходимые; постепенно; коллективные","средиземноморская кухня"
20,Запекание в тесте,Нет,"структура; состояние","тесто как оболочка для тепловой обработки","необходимые; постепенно; коллективные","традиционная кухня"
21,Обжаривание (sauté),Нет,"структура; состояние","быстрая обработка на высоком огне","необходимые; мгновенные; коллективные","французская кухня"
22,Обжаривание на гриле,Нет,"структура; состояние","короткая экспозиция к высокой t решётки","необходимые; мгновенные; коллективные","кулинария"
23,Бланширование,Да,"структура; состояние","кратковременное погружение в кипяток","возможные; мгновенные; коллективные","кулинария"
24,Шоковое охлаждение после бланширования,Да,"структура; состояние","погружение в ледяную воду","возможные; мгновенные; коллективные","кулинария"
25,Обжарка без масла (dry fry),Нет,"структура; состояние","нагрев на сухой поверхности","необходимые; мгновенные; коллективные","азиатская кухня"
26,Копчение холодное,Нет,"структура; состояние","обработка дымом при низкой t","необходимые; постепенно; коллективные","традиционная кухня"
27,Копчение горячее,Нет,"структура; состояние","обработка дымом при высокой t","необходимые; постепенно; коллективные","традиционная кухня"
28,Копчение жидким дымом,Нет,"структура; состояние","ароматизация экстрактом дыма","необходимые; мгновенные; коллективные","современная кухня"
29,Обжаривание на раскалённых камнях,Нет,"структура; состояние","тепло передаётся от камней","необходимые; мгновенные; коллективные","архаическая кухня"
30,Запекание в земляной яме,Нет,"структура; пространство","нагрев в засыпанной земле с углями","необходимые; постепенно; коллективные","традиционная кухня"
31,Гриль газовый,Нет,"структура; состояние","нагрев горелками","необходимые; мгновенные; коллективные","современная кухня"
32,Гриль электрический,Нет,"структура; состояние","нагрев тэнами","необходимые; мгновенные; коллективные","современная кухня"
33,Тостирование хлеба,Да,"структура; состояние","карамелизация крахмалов на поверхности","возможные; мгновенные; коллективные","кулинария"
34,Карамелизация,Нет,"структура; состояние","разложение сахаров при высокой t","необходимые; мгновенные; коллективные","кулинария"
35,Реакция Майяра,Нет,"структура; состояние","аминокислоты + сахара создают аромат и цвет","необходимые; постепенно; коллективные","кулинария"
36,Дегидратация при нагреве,Нет,"структура; состояние","удаление влаги","необходимые; постепенно; коллективные","кулинария"
37,Сублимационная сушка,Нет,"структура; состояние","удаление влаги при заморозке и вакууме","необходимые; постепенно; коллективные","современная кухня"
38,Варка sous-vide,Нет,"структура; состояние","медленный нагрев в вакууме при низкой t","необходимые; постепенно; коллективные","современная кухня"
39,Запекание при низкой t (slow cooking),Нет,"структура; состояние","медленный нагрев для сохранения сочности","необходимые; постепенно; коллективные","современная кухня"
40,Обработка жидким азотом,Да,"структура; состояние","резкое замораживание до -196°C","возможные; мгновенные; коллективные","молекулярная кухня"
41,Флэш-заморозка,Да,"структура; состояние","быстрое охлаждение для сохранения структуры","возможные; мгновенные; коллективные","современная кухня"
42,Криогенная обработка сухим льдом,Да,"структура; состояние","CO₂ в твёрдом виде охлаждает продукт","возможные; мгновенные; коллективные","современная кухня"
43,Запекание в керамике,Нет,"структура; состояние","равномерное распределение тепла керамикой","необходимые; постепенно; коллективные","традиционная кухня"
44,Запекание в чугуне,Нет,"структура; состояние","чугун аккумулирует тепло","необходимые; постепенно; коллективные","традиционная кухня"
45,Запекание в стекле,Нет,"структура; состояние","прозрачность + равномерный нагрев","необходимые; постепенно; коллективные","современная кухня"
46,Обработка в микроволновке,Нет,"структура; состояние","нагрев через дипольное вращение молекул воды","необходимые; мгновенные; коллективные","современная кухня"
47,Инфракрасный нагрев,Нет,"структура; состояние","энергия инфракрасного излучения","необходимые; мгновенные; коллективные","современная кухня"
48,Индукционный нагрев,Нет,"структура; состояние","тепло через вихревые токи","необходимые; мгновенные; коллективные","современная кухня"
49,Стерилизация тепловая,Нет,"структура; состояние","уничтожение микроорганизмов при высокой t","необходимые; постепенно; коллективные","пищевая промышленность"
50,Пастеризация,Нет,"структура; состояние","нагрев до 60–90°C с удержанием","необходимые; постепенно; коллективные","пищевая промышленность"
51,Ультрапастеризация (UHT),Нет,"структура; состояние","нагрев до 135–150°C на короткое время","необходимые; мгновенные; коллективные","современная кухня"
52,Стерилизация под давлением (автоклав),Нет,"структура; состояние","высокое давление и t уничтожают бактерии","необходимые; постепенно; коллективные","пищевая промышленность"
53,Запекание с эффектом конвекции,Нет,"структура; состояние","циркуляция горячего воздуха","необходимые; постепенно; коллективные","современная кухня"
54,Жарка на каменной соли,Нет,"структура; состояние","тепло от кристаллов соли","необходимые; мгновенные; коллективные","экспериментальная кухня"
55,Жарка на лавовом камне,Нет,"структура; состояние","аккумулированное тепло вулканической породы","необходимые; мгновенные; коллективные","экзотическая кухня"
56,Обжарка wok hei,Нет,"структура; состояние","«дыхание вок» при экстремальном нагреве","необходимые; мгновенные; коллективные","азиатская кухня"
57,Флэмбирование,Нет,"структура; состояние","поджигание алкоголя","необходимые; мгновенные; коллективные","французская кухня"
58,Конфирование,Нет,"структура; состояние","длительное томление в жиру","необходимые; постепенно; коллективные","французская кухня"
59,Суфлирование,Нет,"структура; состояние","подъём массы от пара и белков","необходимые; постепенно; коллективные","французская кухня"
60,Обработка открытым огнём,Нет,"структура; состояние","прямой контакт с пламенем","необходимые; мгновенные; коллективные","традиционная кухня"
61,Обжарка на вертеле,Нет,"структура; состояние","вращение над огнём для равномерного нагрева","необходимые; постепенно; коллективные","традиционная кухня"
62,Обжарка в казане,Нет,"структура; состояние","масло + высокие t создают корочку","необходимые; мгновенные; коллективные","азиатская кухня"
63,Обработка в тандыре вертикальная,Нет,"структура; состояние","прикрепление к стенкам печи","необходимые; постепенно; коллективные","азиатская кухня"
64,Обжарка на раскалённой сковороде-гриль,Нет,"структура; состояние","контактные линии нагрева","необходимые; мгновенные; коллективные","современная кухня"
65,Обработка на шампурах,Нет,"структура; состояние","мясо/овощи над углями","необходимые; постепенно; коллективные","кавказская кухня"
66,Обработка в керамическом горшке,Нет,"структура; состояние","томление с замкнутой влагой","необходимые; постепенно; коллективные","традиционная кухня"
67,Томление в печи,Нет,"структура; состояние","низкая t + длительное время","необходимые; постепенно; коллективные","русская кухня"
68,Запекание в хлебной корке,Нет,"структура; состояние","тесто удерживает соки и аромат","необходимые; постепенно; коллективные","традиционная кухня"
69,Запекание в листьях,Нет,"структура; состояние","банановые, виноградные листья создают оболочку","необходимые; постепенно; коллективные","азиатская и средиземноморская кухня"
70,Запекание в глине,Нет,"структура; состояние","глина защищает продукт и сохраняет влагу","необходимые; постепенно; коллективные","архаическая кухня"
71,Запекание в тыкве или овощах,Нет,"структура; состояние","овощ используется как оболочка","необходимые; постепенно; коллективные","традиционная кухня"
72,Обработка в пароконвектомате,Нет,"структура; состояние","пар + конвекция регулируют нагрев","необходимые; постепенно; коллективные","современная кухня"
73,Обработка в аэрогриле,Нет,"структура; состояние","циркуляция горячего воздуха","необходимые; постепенно; коллективные","современная кухня"
74,Обработка на плите индукционной,Нет,"структура; состояние","тепло через электромагнитное поле","необходимые; мгновенные; коллективные","современная кухня"
75,Обработка на плите электрической,Нет,"структура; состояние","нагрев через ТЭН","необходимые; мгновенные; коллективные","современная кухня"
76,Обработка на плите газовой,Нет,"структура; состояние","нагрев через открытый огонь","необходимые; мгновенные; коллективные","традиционная кухня"
77,Пропекание,Нет,"структура; состояние","полное приготовление внутреннего слоя","необходимые; постепенно; коллективные","кулинария"
78,Подрумянивание,Нет,"структура; состояние","карамелизация поверхности до золотистой корки","необходимые; мгновенные; коллективные","кулинария"
79,Подпаливание (char),Нет,"структура; состояние","создание подгорелого аромата","необходимые; мгновенные; коллективные","барбекю"
80,Обработка плазмой,Да,"структура; состояние","ионизированный газ стерилизует поверхность","возможные; мгновенные; коллективные","экспериментальная кухня"
81,Обработка ультразвуком с нагревом,Да,"структура; состояние","кавитация + тепло изменяют структуру","возможные; мгновенные; коллективные","молекулярная кухня"
82,Обработка микроволновым грилем,Нет,"структура; состояние","микроволны + тэны","необходимые; мгновенные; коллективные","современная кухня"
83,Обработка инфракрасным грилем,Нет,"структура; состояние","излучение ИК-нагревателей","необходимые; мгновенные; коллективные","современная кухня"
84,Обработка лазером,Да,"структура; состояние","точечный нагрев лазерным лучом","возможные; мгновенные; индивидуальные","экспериментальная кухня"
85,Обработка омникулером,Да,"структура; состояние","комбинация пара, микроволн и конвекции","возможные; постепенно; коллективные","современная кухня"
86,Запекание с копчением (smoke-roasting),Нет,"структура; состояние","дым + высокая t","необходимые; постепенно; коллективные","американская кухня"
87,Жарка на углях,Нет,"структура; состояние","прямой контакт с углями","необходимые; мгновенные; коллективные","традиционная кухня"
88,Жарка на сковороде вок с маслом,Нет,"структура; состояние","очень высокая t + перемешивание","необходимые; мгновенные; коллективные","азиатская кухня"
89,Жарка глубокая (deep frying),Нет,"структура; состояние","полное погружение в жир","необходимые; мгновенные; коллективные","кулинария"
90,Жарка shallow fry,Нет,"структура; состояние","частичное погружение продукта","необходимые; мгновенные; коллективные","кулинария"
91,Жарка stir-fry,Нет,"структура; состояние","постоянное перемешивание в воке","необходимые; мгновенные; коллективные","азиатская кухня"
92,Жарка pan-fry,Нет,"структура; состояние","жарка на умеренном количестве масла","необходимые; мгновенные; коллективные","кулинария"
93,Жарка flash fry,Нет,"структура; состояние","очень быстрая обработка при высокой t","необходимые; мгновенные; коллективные","кулинария"
94,Жарка shallow sauté,Нет,"структура; состояние","слабое обжаривание на небольшом количестве жира","необходимые; мгновенные; коллективные","кулинария"
95,Жарка stir sauté,Нет,"структура; состояние","комбинация быстрой обжарки и перемешивания","необходимые; мгновенные; коллективные","азиатская кухня"
96,Жарка flash sauté,Нет,"структура; состояние","мгновенное схватывание поверхности","необходимые; мгновенные; коллективные","французская кухня"
97,Жарка во фритюре двойная,Нет,"структура; состояние","двухэтапная жарка для текстуры","необходимые; постепенно; коллективные","современная кухня"
98,Жарка во фритюре тройная,Нет,"структура; состояние","три этапа для особой хрусткости","необходимые; постепенно; коллективные","современная кухня"
99,Жарка confit во фритюре,Нет,"структура; состояние","низкотемпературная жарка в масле","необходимые; постепенно; коллективные","французская кухня"
100,Жарка stir-fry с добавлением жидкости,Нет,"структура; состояние","комбинация обжарки и тушения","необходимые; мгновенные; коллективные","азиатская кухня"
101,Жарка wok stir steam,Нет,"структура; состояние","жарка с добавлением пара","необходимые; мгновенные; коллективные","азиатская кухня"
102,Жарка flambé,Нет,"структура; состояние","поджигание алкоголя в процессе жарки","необходимые; мгновенные; коллективные","французская кухня"
103,Жарка stir-fry с сахаром (карамелизация),Нет,"структура; состояние","карамелизация при обжарке","необходимые; мгновенные; коллективные","азиатская кухня"
104,Жарка stir-fry с соусом,Нет,"структура; состояние","добавление соуса во время жарки","необходимые; мгновенные; коллективные","азиатская кухня"
105,Жарка stir-fry с овощами,Нет,"структура; состояние","комбинирование разных текстур","необходимые; мгновенные; коллективные","азиатская кухня"
106,Жарка stir-fry с мясом,Нет,"структура; состояние","мясо готовится быстро при высокой t","необходимые; мгновенные; коллективные","азиатская кухня"
107,Жарка stir-fry с морепродуктами,Нет,"структура; состояние","морепродукты в быстрой жарке","необходимые; мгновенные; коллективные","азиатская кухня"
108,Жарка stir-fry с лапшой,Нет,"структура; состояние","лапша обжаривается с соусом","необходимые; мгновенные; коллективные","азиатская кухня"
109,Жарка stir-fry с рисом,Нет,"структура; состояние","рис обжаривается на сильном огне","необходимые; мгновенные; коллективные","азиатская кухня"
110,Жарка stir-fry комбинированная,Нет,"структура; состояние","мясо+овощи+соус одновременно","необходимые; мгновенные; коллективные","азиатская кухня"
111,Жарка stir-fry последовательная,Нет,"структура; состояние","отдельная обжарка ингредиентов","необходимые; мгновенные; коллективные","азиатская кухня"
112,Жарка stir-fry финальная сборка,Нет,"структура; состояние","смешивание всех компонентов","необходимые; мгновенные; коллективные","азиатская кухня"
113,Жарка pan searing,Нет,"структура; состояние","быстрое схватывание поверхности мяса","необходимые; мгновенные; коллективные","кулинария"
114,Жарка reverse searing,Нет,"структура; состояние","медленный прогрев + финальный обжиг","необходимые; постепенно; коллективные","современная кухня"
115,Жарка blackening,Нет,"структура; состояние","интенсивное приправление и обугливание","необходимые; мгновенные; коллективные","американская кухня"
116,Жарка smoking sear,Нет,"структура; состояние","обжиг с ароматом дыма","необходимые; мгновенные; коллективные","современная кухня"
117,Жарка torch searing,Нет,"структура; состояние","обжиг ручной горелкой","необходимые; мгновенные; индивидуальные","современная кухня"
118,Жарка на гриле обратная,Нет,"структура; состояние","медленный прогрев + гриль","необходимые; постепенно; коллективные","современная кухня"
119,Жарка на камне вулканическом,Нет,"структура; состояние","тепло камня готовит продукт","необходимые; мгновенные; коллективные","экзотическая кухня"
120,Жарка на соли горячей,Нет,"структура; состояние","горячая соль равномерно готовит","необходимые; мгновенные; коллективные","экспериментальная кухня"
121,Жарка на песке,Нет,"структура; состояние","раскалённый песок передаёт тепло","необходимые; мгновенные; коллективные","традиционная кухня"
122,Жарка на глиняной плитке,Нет,"структура; состояние","глина аккумулирует тепло","необходимые; постепенно; коллективные","архаическая кухня"
123,Жарка на металлической пластине (теппан),Нет,"структура; состояние","прямой контакт с раскалённой плитой","необходимые; мгновенные; коллективные","японская кухня"
124,Жарка на соломе,Нет,"структура; состояние","дым и тепло соломы ароматизируют продукт","необходимые; мгновенные; коллективные","традиционная кухня"
125,Жарка на досках (cedar plank cooking),Нет,"структура; состояние","деревянные доски создают аромат","необходимые; постепенно; коллективные","североамериканская кухня"
126,Жарка с камнями вулканическими в котле,Нет,"структура; состояние","камни аккумулируют тепло в жидкости","необходимые; постепенно; коллективные","гавайская кухня"
127,Жарка в хоспере,Нет,"структура; состояние","печь-гриль с углями","необходимые; постепенно; коллективные","современная кухня"
128,Жарка в паровой печи,Нет,"структура; состояние","сочетание пара и высокой температуры","необходимые; постепенно; коллективные","современная кухня"
129,Жарка в коптильне-гриле,Нет,"структура; состояние","дым + угли + высокая t","необходимые; постепенно; коллективные","барбекю"
130,Жарка в тандоре мясная,Нет,"структура; состояние","вертикальный нагрев и маринад","необходимые; постепенно; коллективные","индийская кухня"
131,Запекание камами (каминное),Нет,"структура; пространство","приготовление у камина","необходимые; постепенно; коллективные","традиционная кухня"
132,Запекание в хлебной печи,Нет,"структура; пространство","остаточное тепло печи","необходимые; постепенно; коллективные","традиционная кухня"
133,Запекание с камнями в яме (imu),Нет,"структура; пространство","земляная яма с раскалёнными камнями","необходимые; постепенно; коллективные","гавайская кухня"
134,Запекание в солнечной печи,Нет,"структура; пространство","концентрация солнечного тепла","необходимые; постепенно; коллективные","экспериментальная кухня"
135,Запекание в песке пустынном,Нет,"структура; пространство","использование жара пустыни","необходимые; постепенно; коллективные","бедуинская кухня"
136,Запекание в вулканическом грунте,Нет,"структура; пространство","геотермальное тепло","необходимые; постепенно; коллективные","исландская кухня"
137,Запекание в каменной печи пиццы,Нет,"структура; пространство","интенсивный нагрев камня","необходимые; постепенно; коллективные","итальянская кухня"
138,Запекание на решётке над углями,Нет,"структура; состояние","прямой контакт с жаром углей","необходимые; мгновенные; коллективные","барбекю"
139,Запекание в тандыре хлебное,Нет,"структура; пространство","лепёшки на стенках печи","необходимые; постепенно; коллективные","азиатская кухня"
140,Запекание на горячих листьях,Нет,"структура; состояние","листья как изоляция и ароматизация","необходимые; постепенно; коллективные","традиционная кухня"
141,Запекание в бамбуке,Нет,"структура; пространство","бамбук удерживает влагу и аромат","необходимые; постепенно; коллективные","азиатская кухня"
142,Запекание в кокосе,Нет,"структура; пространство","кокос служит оболочкой","необходимые; постепенно; коллективные","островная кухня"
143,Обработка в коптильне холодного типа,Нет,"структура; пространство","длительное копчение при низкой t","необходимые; постепенно; коллективные","традиционная кухня"
144,Обработка в коптильне горячего типа,Нет,"структура; пространство","короткое копчение при высокой t","необходимые; постепенно; коллективные","традиционная кухня"
145,Обработка в печи хоспер,Нет,"структура; пространство","уголь + высокое давление","необходимые; постепенно; коллективные","современная кухня"
146,Обработка в печи пароконвекционной,Нет,"структура; пространство","пар + конвекция","необходимые; постепенно; коллективные","современная кухня"
147,Обработка в микроволновке комбинированной,Нет,"структура; состояние","микроволны + гриль + пар","необходимые; мгновенные; коллективные","современная кухня"
148,Обработка в печи вакуумной,Нет,"структура; состояние","нагрев без воздуха","необходимые; постепенно; коллективные","экспериментальная кухня"
149,Обработка в печи инфракрасной,Нет,"структура; состояние","ИК-излучение концентрирует тепло","необходимые; мгновенные; коллективные","современная кухня"
150,Обработка в печи конвективной,Нет,"структура; пространство","воздушный поток распределяет t","необходимые; постепенно; коллективные","современная кухня"
151,Обработка в печи угольной,Нет,"структура; пространство","угли дают жар и аромат","необходимые; постепенно; коллективные","традиционная кухня"
152,Обработка в печи газовой,Нет,"структура; пространство","горелки нагревают равномерно","необходимые; постепенно; коллективные","современная кухня"
153,Обработка в печи электрической,Нет,"структура; пространство","ТЭНы создают нагрев","необходимые; постепенно; коллективные","современная кухня"
154,Обработка в печи дровяной,Нет,"структура; пространство","дым и тепло дерева","необходимые; постепенно; коллективные","традиционная кухня"
155,Обработка на открытом огне шампурная,Нет,"структура; состояние","продукт на шампурах обжигается","необходимые; мгновенные; коллективные","кавказская кухня"
156,Обработка в яме гавайской (imu),Нет,"структура; пространство","земляная печь с углями","необходимые; постепенно; коллективные","гавайская кухня"
157,Обработка в вулканическом паре,Нет,"структура; пространство","геотермальные источники готовят пищу","необходимые; постепенно; коллективные","исландская кухня"
158,Обработка в песке пустынном горячем,Нет,"структура; пространство","жар пустыни используется для приготовления","необходимые; постепенно; коллективные","бедуинская кухня"
159,Обработка на лаве,Нет,"структура; пространство","раскалённая лава нагревает","необходимые; мгновенные; коллективные","экзотическая кухня"
160,Обработка в солнечном концентраторе,Нет,"структура; пространство","линзы/зеркала фокусируют солнечный свет","необходимые; постепенно; коллективные","экспериментальная кухня"
