№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
22,вегетативные рефлексы— активация,Да,символы,принцип Хебба,неформальные; индивидуальные; эндогенные; мгновенные,Схожие процессы существуют
23,топографическая организация,Нет,дискурс,гомеостаз,латентные; цикличные; постепенные; коллективные,Уникальный процесс
24,функциональная сегрегация— регуляция,Условно,время/ритм,принцип минимальной энергии,явные; цикличные,Схожие процессы существуют
25,нейронные генераторы осцилляций— регуляция,Да,состояние,доктрина нейрона,мгновенные; необходимые,Аналоги в других системах
26,нейронное кодирование стимулов— нарушение,Да,отношения,законы электрофизиологии,эндогенные; индивидуальные; неформальные; дискретные,Аналоги в других системах
27,висцеральные рефлексы— модуляция,Нет,нормы,принцип минимальной энергии,эндогенные; континуальные; необходимые; возможные,Аналоги в других системах
28,регуляция осевой стабильности— модуляция,Нет,экономика/обмен,доктрина нейрона,экзогенные; неформальные,Схожие процессы существуют
29,кортикальная колонковая организация,Да,нормы,законы диффузии,континуальные; дискретные; индивидуальные; мгновенные,Аналоги в других системах
30,временная синхронизация нейронов— нарушение,Нет,символы,принцип минимальной энергии,индивидуальные; латентные; дискретные,Уникальный процесс
31,генерация сердечного ритма— ингибиция,Условно,функция,гомеостаз,каскадные; мгновенные; явные; латентные,Схожие процессы существуют
32,нейронное кодирование стимулов,Условно,нормы,принцип конкурентного ингибирования,коллективные; эндогенные; явные; латентные,Уникальный процесс
33,пространственное картирование— активация,Условно,символы,эвристика обратной связи,мгновенные; необходимые; индивидуальные,Уникальный процесс
34,экстракция особенностей— модуляция,Условно,тело/материя,принцип Хебба,неформальные; дискретные; континуальные,Аналоги в других системах
35,кортикальная колонковая организация— регуляция,Условно,содержание,законы электрофизиологии,латентные; институциональные,Схожие процессы существуют
36,вход-выходные функции нейронов— регуляция,Условно,функция,эвристика обратной связи,индивидуальные; коллективные,Аналоги в других системах
37,кодирование движений глаз— ингибиция,Да,идентичность/границы,доктрина нейрона,постепенные; латентные; каскадные; цикличные,Уникальный процесс
38,организация зрительного пути— модуляция,Условно,поведение,доктрина нейрона,возможные; постепенные; экзогенные,Уникальный процесс
39,нейронное кодирование стимулов— регуляция,Условно,технология/инфраструктура,принцип приспособления,каскадные; эндогенные; явные,Уникальный процесс
40,топографическая организация— ингибиция,Нет,символы,эвристика прогнозирования,возможные; каскадные; явные; коллективные,Уникальный процесс
41,временная синхронизация нейронов— модуляция,Нет,символы,правило специфичности,экзогенные; континуальные; эндогенные,Уникальный процесс
42,декомпозиция сигнала— ингибиция,Условно,пространство,принцип пластичности,дискретные; возможные; континуальные; цикличные,Уникальный процесс
43,нейронный отклик на стимулы— ингибиция,Нет,время/ритм,правило специфичности,коллективные; дискретные,Схожие процессы существуют
44,декомпозиция сигнала— регуляция,Нет,структура,закон сохранения энергии,латентные; коллективные,Аналоги в других системах
45,кортикальная колонковая организация— нарушение,Да,память/наследие,принцип Хебба,явные; возможные,Аналоги в других системах
46,осцилляции нейронных сетей— ингибиция,Нет,значения,законы диффузии,постепенные; явные,Уникальный процесс
47,кросс-модальная пластичность,Условно,символы,законы электрофизиологии,мгновенные; индивидуальные; латентные; возможные,Схожие процессы существуют
48,кодирование движений глаз— активация,Да,структура,принцип приспособления,эндогенные; явные; континуальные,Аналоги в других системах
49,топографическая организация— регуляция,Да,память/наследие,законы электрофизиологии,каскадные; явные; континуальные,Уникальный процесс
50,ритмы гамма-волны— модуляция,Нет,отношения,гомеостаз,континуальные; возможные; явные; индивидуальные,Схожие процессы существуют
51,кодирование движений глаз— нарушение,Да,пространство,принцип пластичности,возможные; явные,Уникальный процесс
52,долговременная синхронизация— регуляция,Условно,отношения,доктрина нейрона,цикличные; коллективные,Схожие процессы существуют
53,передача сигналов по белому веществу— активация,Условно,функция,принцип Хебба,латентные; явные; каскадные; необходимые,Уникальный процесс
54,синхронный выброс спайков— нарушение,Да,содержание,доктрина нейрона,континуальные; мгновенные,Аналоги в других системах
55,активация нейромодуляторов— модуляция,Условно,структура,принцип конкурентного ингибирования,институциональные; коллективные,Аналоги в других системах
56,проприоцептивное кодирование— регуляция,Нет,содержание,законы электрофизиологии,неформальные; индивидуальные,Аналоги в других системах
57,регуляция тонуса мышц— активация,Нет,память/наследие,принцип приспособления,континуальные; латентные; постепенные,Схожие процессы существуют
58,нейронный отклик на стимулы— нарушение,Да,институты,принцип конкурентного ингибирования,каскадные; эндогенные,Схожие процессы существуют
59,топографическая организация— активация,Условно,нормы,законы диффузии,институциональные; эндогенные; коллективные; необходимые,Уникальный процесс
60,кортикостриатные взаимодействия— нарушение,Да,дискурс,принцип Хебба,латентные; коллективные; институциональные,Аналоги в других системах
61,моделирование нейронных ансамблей— ингибиция,Условно,экономика/обмен,эвристика стохастического резонанса,мгновенные; возможные,Уникальный процесс
62,интеграция сенсорной информации,Нет,время/ритм,закон сохранения энергии,постепенные; континуальные; возможные,Аналоги в других системах
63,висцеральные рефлексы— активация,Нет,функция,законы электрофизиологии,явные; постепенные; мгновенные,Уникальный процесс
64,интеграция сенсорной информации— нарушение,Да,идентичность/границы,принцип конкурентного ингибирования,каскадные; цикличные; постепенные,Уникальный процесс
65,модуляция сетевой возбудимости— модуляция,Да,поведение,принцип конкурентного ингибирования,мгновенные; постепенные,Аналоги в других системах
66,долговременная синхронизация,Да,структура,законы электрофизиологии,неформальные; континуальные,Уникальный процесс
67,взаимодействие глия-нейрон,Условно,символы,принцип пластичности,континуальные; неформальные; мгновенные,Аналоги в других системах
68,временная синхронизация нейронов— регуляция,Да,значения,принцип минимальной энергии,каскадные; мгновенные; континуальные; возможные,Уникальный процесс
69,активация зеркальных нейронов— регуляция,Да,содержание,принцип приспособления,континуальные; дискретные; коллективные; возможные,Аналоги в других системах
70,экстракция особенностей— ингибиция,Да,институты,принцип приспособления,постепенные; мгновенные; институциональные,Аналоги в других системах
71,передача информации в тракте— ингибиция,Условно,нормы,правило специфичности,индивидуальные; неформальные; дискретные,Аналоги в других системах
72,кортикальная колонковая организация— ингибиция,Да,экономика/обмен,принцип конкурентного ингибирования,возможные; необходимые,Уникальный процесс
73,регуляция двигательного паттерна— нарушение,Нет,состояние,принцип минимальной энергии,каскадные; постепенные,Схожие процессы существуют
74,барорефлекс— нарушение,Нет,символы,закон сохранения энергии,неформальные; экзогенные; постепенные,Схожие процессы существуют
75,активация зеркальных нейронов— активация,Да,состояние,эвристика обратной связи,эндогенные; индивидуальные; необходимые; неформальные,Уникальный процесс
76,позиционирование головы,Нет,дискурс,правило специфичности,каскадные; латентные,Уникальный процесс
77,регуляция двигательного паттерна,Условно,поведение,законы электрофизиологии,латентные; дискретные; эндогенные; каскадные,Уникальный процесс
78,таламо-кортикальные петли— нарушение,Условно,нормы,принцип конкурентного ингибирования,постепенные; индивидуальные; необходимые,Уникальный процесс
79,кодирование движений глаз— регуляция,Да,время/ритм,принцип приспособления,явные; континуальные,Схожие процессы существуют
80,активация нейромодуляторов— активация,Нет,значения,законы электрофизиологии,латентные; мгновенные; постепенные,Схожие процессы существуют
81,таламо-кортикальные петли— активация,Да,значения,эвристика стохастического резонанса,каскадные; постепенные,Аналоги в других системах
82,нейронный отклик на стимулы— регуляция,Нет,функция,законы диффузии,явные; эндогенные; мгновенные; коллективные,Аналоги в других системах
83,регуляция тонуса мышц— модуляция,Да,отношения,правило специфичности,постепенные; континуальные; коллективные,Схожие процессы существуют
84,нейронные генераторы осцилляций— модуляция,Нет,экономика/обмен,принцип приспособления,эндогенные; возможные; латентные,Схожие процессы существуют
85,регуляция двигательного паттерна— модуляция,Нет,технология/инфраструктура,доктрина нейрона,мгновенные; эндогенные; коллективные,Аналоги в других системах
86,когерентность сигналов— нарушение,Да,дискурс,законы электрофизиологии,постепенные; возможные; континуальные,Уникальный процесс
87,организация зрительного пути— активация,Условно,нормы,закон сохранения энергии,возможные; эндогенные,Схожие процессы существуют
88,терморегуляторные циклы— ингибиция,Нет,состояние,закон сохранения энергии,возможные; дискретные; латентные,Аналоги в других системах
89,нейронное кодирование стимулов— модуляция,Условно,функция,принцип приспособления,институциональные; постепенные,Схожие процессы существуют
90,нейронный отклик на стимулы— модуляция,Условно,технология/инфраструктура,принцип конкурентного ингибирования,возможные; мгновенные; явные; необходимые,Аналоги в других системах
91,кортикальная колонковая организация— модуляция,Условно,технология/инфраструктура,законы электрофизиологии,дискретные; латентные; коллективные; цикличные,Аналоги в других системах
92,сенсомоторная интеграция— регуляция,Условно,дискурс,гомеостаз,возможные; каскадные,Уникальный процесс
93,активация нейромодуляторов— регуляция,Да,отношения,законы электрофизиологии,коллективные; явные; дискретные,Аналоги в других системах
94,генерация сердечного ритма— регуляция,Нет,тело/материя,принцип приспособления,континуальные; цикличные; эндогенные,Схожие процессы существуют
95,экстракция особенностей— регуляция,Да,нормы,правило специфичности,мгновенные; возможные,Аналоги в других системах
96,синхронный выброс спайков— регуляция,Да,символы,принцип минимальной энергии,явные; мгновенные; цикличные,Схожие процессы существуют
97,передача сигналов по белому веществу,Условно,экономика/обмен,гомеостаз,явные; каскадные; эндогенные,Схожие процессы существуют
98,генерация сердечного ритма— нарушение,Нет,содержание,эвристика обратной связи,явные; континуальные,Аналоги в других системах
99,осцилляции нейронных сетей,Да,тело/материя,принцип Хебба,цикличные; мгновенные; экзогенные; институциональные,Схожие процессы существуют
100,проприоцептивная обратная связь— ингибиция,Условно,дискурс,эвристика прогнозирования,дискретные; индивидуальные; явные,Аналоги в других системах
101,синхронный выброс спайков— модуляция,Да,структура,правило специфичности,необходимые; мгновенные,Схожие процессы существуют
102,когерентность сигналов— модуляция,Да,дискурс,законы электрофизиологии,индивидуальные; неформальные,Аналоги в других системах
103,динамическое балансирование— регуляция,Да,тело/материя,закон химической кинетики,эндогенные; континуальные; неформальные; латентные,Аналоги в других системах
104,ритмы альфа-волны— модуляция,Да,структура,эвристика обратной связи,эндогенные; латентные; индивидуальные,Аналоги в других системах
105,функциональная интеграция— ингибиция,Да,значения,закон сохранения энергии,коллективные; каскадные,Аналоги в других системах
106,пространственное картирование— нарушение,Нет,институты,принцип Хебба,экзогенные; институциональные; континуальные; необходимые,Аналоги в других системах
107,кортикальная колонковая организация— активация,Нет,нормы,принцип Хебба,мгновенные; постепенные,Аналоги в других системах
108,декомпозиция сигнала— модуляция,Условно,поведение,эвристика обратной связи,возможные; индивидуальные,Уникальный процесс
109,интеграция сенсорной информации— регуляция,Условно,нормы,закон химической кинетики,коллективные; цикличные; явные; постепенные,Уникальный процесс
110,взаимодействие глия-нейрон— ингибиция,Условно,функция,принцип конкурентного ингибирования,неформальные; эндогенные; экзогенные,Схожие процессы существуют
111,проприоцептивное кодирование,Нет,технология/инфраструктура,гомеостаз,неформальные; цикличные,Уникальный процесс
112,барорефлекс— ингибиция,Да,состояние,принцип конкурентного ингибирования,возможные; экзогенные; коллективные; латентные,Аналоги в других системах
113,передача сигналов по белому веществу— регуляция,Да,память/наследие,доктрина нейрона,необходимые; латентные,Аналоги в других системах
114,формирование нейронных карт— ингибиция,Да,пространство,принцип конкурентного ингибирования,дискретные; неформальные; мгновенные; цикличные,Уникальный процесс
115,экстракция особенностей,Нет,содержание,гомеостаз,возможные; необходимые,Схожие процессы существуют
116,долговременная синхронизация— модуляция,Да,функция,законы диффузии,институциональные; постепенные; континуальные,Уникальный процесс
117,генерация сердечного ритма,Нет,символы,доктрина нейрона,постепенные; мгновенные,Схожие процессы существуют
118,позиционирование головы— нарушение,Условно,значения,закон химической кинетики,каскадные; возможные; цикличные; необходимые,Уникальный процесс
119,передача информации в тракте,Да,память/наследие,гомеостаз,цикличные; мгновенные; коллективные; экзогенные,Аналоги в других системах
120,организация зрительного пути— регуляция,Да,время/ритм,доктрина нейрона,экзогенные; явные; мгновенные; латентные,Уникальный процесс
121,регуляция тонуса мышц— нарушение,Да,институты,гомеостаз,возможные; дискретные; коллективные; индивидуальные,Схожие процессы существуют
122,ритмы альфа-волны— регуляция,Условно,нормы,принцип приспособления,эндогенные; мгновенные; индивидуальные; неформальные,Уникальный процесс
123,проприоцептивная обратная связь— модуляция,Да,память/наследие,гомеостаз,коллективные; латентные; индивидуальные; мгновенные,Уникальный процесс
124,нейронные генераторы осцилляций— нарушение,Да,нормы,принцип конкурентного ингибирования,возможные; явные; дискретные,Уникальный процесс
125,активация нейромодуляторов— ингибиция,Нет,память/наследие,принцип Хебба,экзогенные; возможные; институциональные,Аналоги в других системах
126,вход-выходные функции нейронов,Нет,состояние,принцип конкурентного ингибирования,дискретные; коллективные; цикличные; постепенные,Уникальный процесс
127,кросс-модальная пластичность— нарушение,Условно,экономика/обмен,принцип приспособления,эндогенные; институциональные; мгновенные,Аналоги в других системах
128,активация зеркальных нейронов— ингибиция,Да,символы,принцип минимальной энергии,институциональные; явные,Уникальный процесс
129,моделирование нейронных ансамблей— активация,Да,технология/инфраструктура,законы электрофизиологии,неформальные; возможные; дискретные; континуальные,Аналоги в других системах
130,взаимодействие глия-нейрон— активация,Условно,идентичность/границы,правило специфичности,дискретные; континуальные,Уникальный процесс
131,динамическое балансирование— активация,Нет,пространство,принцип пластичности,каскадные; неформальные; индивидуальные,Аналоги в других системах
132,кодирование движений глаз— модуляция,Да,пространство,принцип приспособления,институциональные; континуальные; экзогенные; эндогенные,Схожие процессы существуют
133,интеграция сенсорной информации— активация,Условно,институты,закон химической кинетики,континуальные; постепенные,Схожие процессы существуют
134,позиционирование головы— ингибиция,Да,институты,законы электрофизиологии,латентные; индивидуальные; дискретные,Уникальный процесс
135,динамическое балансирование— нарушение,Условно,память/наследие,законы диффузии,возможные; мгновенные,Аналоги в других системах
136,нейронные генераторы осцилляций,Да,значения,принцип минимальной энергии,экзогенные; каскадные; институциональные,Аналоги в других системах
137,экстракция особенностей— нарушение,Условно,значения,гомеостаз,цикличные; индивидуальные,Схожие процессы существуют
138,когерентность сигналов— активация,Нет,тело/материя,закон химической кинетики,необходимые; коллективные,Уникальный процесс
139,таламо-кортикальные петли— регуляция,Да,состояние,гомеостаз,континуальные; явные,Аналоги в других системах
140,регуляция тонуса мышц— ингибиция,Нет,идентичность/границы,эвристика прогнозирования,неформальные; институциональные; экзогенные; латентные,Уникальный процесс
141,декомпозиция сигнала— нарушение,Да,время/ритм,принцип приспособления,дискретные; неформальные; институциональные; коллективные,Аналоги в других системах
142,ритмы гамма-волны— ингибиция,Да,экономика/обмен,принцип приспособления,постепенные; континуальные; каскадные,Схожие процессы существуют
143,интеграция сенсорной информации— модуляция,Условно,пространство,доктрина нейрона,необходимые; возможные; экзогенные; коллективные,Схожие процессы существуют
144,формирование нейронных карт— нарушение,Да,технология/инфраструктура,принцип Хебба,возможные; дискретные; индивидуальные; постепенные,Аналоги в других системах
145,функциональная интеграция— активация,Нет,пространство,принцип минимальной энергии,экзогенные; возможные; индивидуальные,Уникальный процесс
146,организация слухового пути— активация,Да,институты,закон сохранения энергии,возможные; постепенные; экзогенные; континуальные,Аналоги в других системах
147,глубинная стимуляция— активация,Да,отношения,принцип конкурентного ингибирования,возможные; эндогенные; индивидуальные,Аналоги в других системах
148,кросс-модальная пластичность— активация,Нет,экономика/обмен,эвристика стохастического резонанса,неформальные; мгновенные,Уникальный процесс
149,формирование ритма дыхания,Да,время/ритм,принцип приспособления,дискретные; институциональные,Уникальный процесс
150,синхронный выброс спайков— ингибиция,Да,идентичность/границы,правило специфичности,мгновенные; коллективные; неформальные; эндогенные,Уникальный процесс
151,вегетативные рефлексы— нарушение,Нет,время/ритм,правило специфичности,дискретные; неформальные,Аналоги в других системах
152,временная синхронизация нейронов— активация,Нет,институты,принцип приспособления,явные; континуальные; институциональные,Уникальный процесс
153,кортикостриатные взаимодействия— регуляция,Нет,нормы,принцип минимальной энергии,континуальные; явные; институциональные,Схожие процессы существуют
154,кросс-модальная пластичность— модуляция,Нет,структура,законы диффузии,цикличные; коллективные; экзогенные,Уникальный процесс
155,сенсомоторная интеграция— ингибиция,Условно,поведение,принцип приспособления,возможные; индивидуальные,Схожие процессы существуют
156,функциональная сегрегация— ингибиция,Условно,пространство,принцип пластичности,дискретные; каскадные; индивидуальные,Уникальный процесс
157,функциональная сегрегация— нарушение,Нет,значения,законы диффузии,каскадные; эндогенные; коллективные; необходимые,Схожие процессы существуют
158,нейронные генераторы осцилляций— активация,Да,отношения,принцип пластичности,континуальные; цикличные; экзогенные; необходимые,Аналоги в других системах
159,организация слухового пути— регуляция,Нет,структура,законы диффузии,возможные; цикличные; институциональные; континуальные,Схожие процессы существуют
160,передача информации в тракте— модуляция,Нет,нормы,принцип пластичности,индивидуальные; латентные; постепенные; каскадные,Аналоги в других системах
161,активация нейромодуляторов,Нет,экономика/обмен,принцип минимальной энергии,необходимые; неформальные; латентные,Схожие процессы существуют
162,ритмы гамма-волны— нарушение,Нет,тело/материя,доктрина нейрона,неформальные; постепенные,Аналоги в других системах
163,барорефлекс— модуляция,Да,тело/материя,принцип пластичности,неформальные; необходимые; возможные; явные,Аналоги в других системах
164,когерентность сигналов— регуляция,Условно,пространство,эвристика прогнозирования,коллективные; латентные; мгновенные,Уникальный процесс
165,организация зрительного пути,Условно,тело/материя,законы диффузии,постепенные; эндогенные; коллективные; институциональные,Схожие процессы существуют
166,декомпозиция сигнала,Нет,символы,принцип Хебба,дискретные; экзогенные,Схожие процессы существуют
167,активация нейромодуляторов— нарушение,Нет,технология/инфраструктура,законы диффузии,возможные; цикличные,Схожие процессы существуют
168,глубинная стимуляция— модуляция,Нет,идентичность/границы,эвристика стохастического резонанса,возможные; латентные; эндогенные; каскадные,Схожие процессы существуют
169,нейронное кодирование стимулов— ингибиция,Да,пространство,законы электрофизиологии,экзогенные; неформальные,Аналоги в других системах
170,осцилляции нейронных сетей— нарушение,Да,тело/материя,эвристика стохастического резонанса,латентные; коллективные; дискретные,Аналоги в других системах
171,долговременная синхронизация— активация,Нет,тело/материя,принцип конкурентного ингибирования,мгновенные; континуальные,Аналоги в других системах
172,функциональная сегрегация,Да,дискурс,закон химической кинетики,институциональные; континуальные; дискретные; экзогенные,Аналоги в других системах
173,терморегуляторные циклы— регуляция,Да,технология/инфраструктура,закон химической кинетики,постепенные; латентные; цикличные; дискретные,Схожие процессы существуют
174,передача информации в тракте— активация,Условно,экономика/обмен,эвристика прогнозирования,экзогенные; дискретные; явные; постепенные,Схожие процессы существуют
175,проприоцептивная обратная связь— нарушение,Условно,функция,эвристика обратной связи,постепенные; возможные,Схожие процессы существуют
176,таламо-кортикальные петли— ингибиция,Условно,содержание,эвристика прогнозирования,мгновенные; неформальные; необходимые; эндогенные,Схожие процессы существуют
177,ритмы альфа-волны— нарушение,Условно,нормы,принцип пластичности,постепенные; необходимые,Схожие процессы существуют
178,организация слухового пути— ингибиция,Нет,идентичность/границы,правило специфичности,латентные; неформальные; мгновенные; континуальные,Аналоги в других системах
179,генерация сердечного ритма— активация,Нет,пространство,гомеостаз,мгновенные; постепенные; необходимые,Схожие процессы существуют
180,глубинная стимуляция— ингибиция,Да,состояние,принцип приспособления,возможные; институциональные,Схожие процессы существуют
181,активация зеркальных нейронов— нарушение,Нет,пространство,принцип пластичности,латентные; экзогенные; необходимые,Схожие процессы существуют
182,топографическая организация— модуляция,Условно,поведение,принцип пластичности,неформальные; мгновенные; латентные,Аналоги в других системах
183,регуляция осевой стабильности— ингибиция,Да,экономика/обмен,гомеостаз,индивидуальные; экзогенные,Схожие процессы существуют
184,глубинная стимуляция— нарушение,Условно,тело/материя,принцип Хебба,коллективные; цикличные; институциональные; необходимые,Схожие процессы существуют
185,регуляция тонуса мышц— регуляция,Условно,дискурс,принцип пластичности,эндогенные; мгновенные; институциональные; цикличные,Уникальный процесс
186,когерентность сигналов— ингибиция,Нет,институты,эвристика стохастического резонанса,неформальные; дискретные; явные; экзогенные,Аналоги в других системах
187,синхронный выброс спайков— активация,Нет,память/наследие,законы диффузии,дискретные; каскадные; индивидуальные,Аналоги в других системах
188,глубинная стимуляция— регуляция,Нет,символы,законы диффузии,цикличные; возможные; явные,Аналоги в других системах
189,организация слухового пути— нарушение,Да,пространство,закон химической кинетики,коллективные; латентные; континуальные; эндогенные,Уникальный процесс
190,формирование ритма дыхания— активация,Нет,тело/материя,принцип приспособления,латентные; возможные; постепенные; неформальные,Уникальный процесс
191,висцеральные рефлексы— нарушение,Нет,дискурс,принцип приспособления,континуальные; необходимые; институциональные,Уникальный процесс
192,висцеральные рефлексы,Условно,дискурс,гомеостаз,мгновенные; цикличные; эндогенные,Схожие процессы существуют
193,активация зеркальных нейронов,Да,отношения,принцип Хебба,индивидуальные; явные,Аналоги в других системах
194,функциональная сегрегация— модуляция,Условно,институты,эвристика обратной связи,коллективные; латентные; возможные,Схожие процессы существуют
195,вход-выходные функции нейронов— ингибиция,Да,экономика/обмен,закон сохранения энергии,мгновенные; явные; необходимые,Уникальный процесс
196,ритмы альфа-волны— активация,Условно,содержание,гомеостаз,мгновенные; дискретные; латентные,Схожие процессы существуют
197,пространственное картирование,Нет,символы,гомеостаз,институциональные; дискретные; явные,Схожие процессы существуют
198,кортикостриатные взаимодействия— модуляция,Условно,экономика/обмен,закон химической кинетики,латентные; континуальные,Уникальный процесс
199,декомпозиция сигнала— активация,Да,нормы,принцип приспособления,мгновенные; неформальные,Схожие процессы существуют
200,регуляция двигательного паттерна— регуляция,Да,поведение,закон сохранения энергии,постепенные; неформальные; цикличные,Схожие процессы существуют
