№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,лайкоориентирование,Условно,соцсети/посты/комментарии,виральность/связанность/мгновенность,сетевые; мгновенные; массовые,Аналоги: маркетинг—SMM; психология—соц. влияние; информатика—сети
45,метаверсализация,Условно,виртуальные связи/игровые миры/VR,иммерсия/аугментация/интерактивность,мгновенные; сетевые; иммерсивные,Аналоги: театр—инсценировка; психология—погружение; информатика—симуляции
46,цифровые аватары,Условно,виртуальные связи/игровые миры/VR,иммерсия/аугментация/интерактивность,мгновенные; сетевые; иммерсивные,Аналоги: театр—инсценировка; психология—погружение; информатика—симуляции
47,виртуальная дружба,Условно,виртуальные связи/игровые миры/VR,иммерсия/аугментация/интерактивность,мгновенные; сетевые; иммерсивные,Аналоги: театр—инсценировка; психология—погружение; информатика—симуляции
48,виртуальные браки,Условно,виртуальные связи/игровые миры/VR,иммерсия/аугментация/интерактивность,мгновенные; сетевые; иммерсивные,Аналоги: театр—инсценировка; психология—погружение; информатика—симуляции
49,иммерсивное обучение,Условно,виртуальные связи/игровые миры/VR,иммерсия/аугментация/интерактивность,мгновенные; сетевые; иммерсивные,Аналоги: театр—инсценировка; психология—погружение; информатика—симуляции
50,онлайн-перформансы,Условно,виртуальные связи/игровые миры/VR,иммерсия/аугментация/интерактивность,мгновенные; сетевые; иммерсивные,Аналоги: театр—инсценировка; психология—погружение; информатика—симуляции
51,создание аватара,Условно,аватары/профили/самопрезентации,самопрезентация/гибридизация/маркировка,сетевые; мгновенные; стратегические,Аналоги: психология—имидж; маркетинг—брендинг; социология—идентичность
52,персонализация профиля,Условно,аватары/профили/самопрезентации,самопрезентация/гибридизация/маркировка,сетевые; мгновенные; стратегические,Аналоги: психология—имидж; маркетинг—брендинг; социология—идентичность
53,ребрендинг личности,Условно,аватары/профили/самопрезентации,самопрезентация/гибридизация/маркировка,сетевые; мгновенные; стратегические,Аналоги: психология—имидж; маркетинг—брендинг; социология—идентичность
54,анонимизация,Условно,аватары/профили/самопрезентации,самопрезентация/гибридизация/маркировка,сетевые; мгновенные; стратегические,Аналоги: психология—имидж; маркетинг—брендинг; социология—идентичность
55,деанонимизация,Условно,аватары/профили/самопрезентации,самопрезентация/гибридизация/маркировка,сетевые; мгновенные; стратегические,Аналоги: психология—имидж; маркетинг—брендинг; социология—идентичность
56,виртуальная самопрезентация,Условно,аватары/профили/самопрезентации,самопрезентация/гибридизация/маркировка,сетевые; мгновенные; стратегические,Аналоги: психология—имидж; маркетинг—брендинг; социология—идентичность
57,маскирование идентичности,Условно,аватары/профили/самопрезентации,самопрезентация/гибридизация/маркировка,сетевые; мгновенные; стратегические,Аналоги: психология—имидж; маркетинг—брендинг; социология—идентичность
58,псевдонимизация,Условно,аватары/профили/самопрезентации,самопрезентация/гибридизация/маркировка,сетевые; мгновенные; стратегические,Аналоги: психология—имидж; маркетинг—брендинг; социология—идентичность
59,символическая маркировка,Условно,аватары/профили/самопрезентации,самопрезентация/гибридизация/маркировка,сетевые; мгновенные; стратегические,Аналоги: психология—имидж; маркетинг—брендинг; социология—идентичность
60,цифровой след,Условно,аватары/профили/самопрезентации,самопрезентация/гибридизация/маркировка,сетевые; мгновенные; стратегические,Аналоги: психология—имидж; маркетинг—брендинг; социология—идентичность
61,шифрование,Условно,данные/конфиденциальность/безопасность,защита/контроль/шифрование,мгновенные; автоматические; институциональные,Аналоги: информатика—инфобез; право—приватность; политика—надзор
62,дешифрование,Условно,данные/конфиденциальность/безопасность,защита/контроль/шифрование,мгновенные; автоматические; институциональные,Аналоги: информатика—инфобез; право—приватность; политика—надзор
63,анонимизация данных,Условно,данные/конфиденциальность/безопасность,защита/контроль/шифрование,мгновенные; автоматические; институциональные,Аналоги: информатика—инфобез; право—приватность; политика—надзор
64,деанонимизация данных,Условно,данные/конфиденциальность/безопасность,защита/контроль/шифрование,мгновенные; автоматические; институциональные,Аналоги: информатика—инфобез; право—приватность; политика—надзор
65,двухфакторная аутентификация,Условно,данные/конфиденциальность/безопасность,защита/контроль/шифрование,мгновенные; автоматические; институциональные,Аналоги: информатика—инфобез; право—приватность; политика—надзор
66,биометрическая идентификация,Условно,данные/конфиденциальность/безопасность,защита/контроль/шифрование,мгновенные; автоматические; институциональные,Аналоги: информатика—инфобез; право—приватность; политика—надзор
67,VPN-изация,Условно,данные/конфиденциальность/безопасность,защита/контроль/шифрование,мгновенные; автоматические; институциональные,Аналоги: информатика—инфобез; право—приватность; политика—надзор
68,взлом,Условно,данные/конфиденциальность/безопасность,защита/контроль/шифрование,мгновенные; автоматические; институциональные,Аналоги: информатика—инфобез; право—приватность; политика—надзор
69,кибератака,Условно,данные/конфиденциальность/безопасность,защита/контроль/шифрование,мгновенные; автоматические; институциональные,Аналоги: информатика—инфобез; право—приватность; политика—надзор
70,защита паролей,Условно,данные/конфиденциальность/безопасность,защита/контроль/шифрование,мгновенные; автоматические; институциональные,Аналоги: информатика—инфобез; право—приватность; политика—надзор
71,нетикет,Условно,нормы/ценности/практики онлайн,геймификация/эстетизация/глокализация,сетевые; коллективные; мгновенные,Аналоги: культурология—массовая культура; социология—соц. нормы; психология—онлайн-идентичность
72,троллизация,Условно,нормы/ценности/практики онлайн,геймификация/эстетизация/глокализация,сетевые; коллективные; мгновенные,Аналоги: культурология—массовая культура; социология—соц. нормы; психология—онлайн-идентичность
73,хейтеризация,Условно,нормы/ценности/практики онлайн,геймификация/эстетизация/глокализация,сетевые; коллективные; мгновенные,Аналоги: культурология—массовая культура; социология—соц. нормы; психология—онлайн-идентичность
74,кибербуллинг,Условно,нормы/ценности/практики онлайн,геймификация/эстетизация/глокализация,сетевые; коллективные; мгновенные,Аналоги: культурология—массовая культура; социология—соц. нормы; психология—онлайн-идентичность
75,киберсолидарность,Условно,нормы/ценности/практики онлайн,геймификация/эстетизация/глокализация,сетевые; коллективные; мгновенные,Аналоги: культурология—массовая культура; социология—соц. нормы; психология—онлайн-идентичность
76,фандомизация,Условно,нормы/ценности/практики онлайн,геймификация/эстетизация/глокализация,сетевые; коллективные; мгновенные,Аналоги: культурология—массовая культура; социология—соц. нормы; психология—онлайн-идентичность
77,онлайн-активизм,Условно,нормы/ценности/практики онлайн,геймификация/эстетизация/глокализация,сетевые; коллективные; мгновенные,Аналоги: культурология—массовая культура; социология—соц. нормы; психология—онлайн-идентичность
78,геймификация культуры,Условно,нормы/ценности/практики онлайн,геймификация/эстетизация/глокализация,сетевые; коллективные; мгновенные,Аналоги: культурология—массовая культура; социология—соц. нормы; психология—онлайн-идентичность
79,эмодзификация,Условно,нормы/ценности/практики онлайн,геймификация/эстетизация/глокализация,сетевые; коллективные; мгновенные,Аналоги: культурология—массовая культура; социология—соц. нормы; психология—онлайн-идентичность
80,цифровая меметика,Условно,нормы/ценности/практики онлайн,геймификация/эстетизация/глокализация,сетевые; коллективные; мгновенные,Аналоги: культурология—массовая культура; социология—соц. нормы; психология—онлайн-идентичность
